,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Age,Gender_mapped
0,0.2,1.0,0.2,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,1.0,0.6000000000000001,0.2,0.2,0.2,0.2,1.0,0.6000000000000001,0.6000000000000001,0.4,0.2,1.0,1.0,0.2,0.8,0.8,0.4,1.0,0.8,0.8,0.6666666666666666,0.0
1,0.2,0.6000000000000001,0.8,1.0,0.4,0.8,0.8,1.0,0.2,0.2,0.8,0.8,1.0,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6000000000000001,0.6000000000000001,0.4,0.8,0.4,1.0,0.6333333333333333,0.0
2,0.2,0.4,0.2,1.0,0.4,0.8,0.4,0.8,0.2,0.2,1.0,0.4,1.0,0.4,0.6000000000000001,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.2,0.8,0.4,1.0,1.0,1.0,1.0,0.6666666666666666,0.0
3,0.8,0.8,1.0,0.8,0.2,0.6000000000000001,0.2,0.4,0.6000000000000001,0.6000000000000001,1.0,0.8,0.8,0.4,1.0,0.2,1.0,0.8,0.2,0.2,0.2,0.6000000000000001,0.2,0.2,0.2,0.4,0.8,0.6000000000000001,0.2,0.4,0.2,0.2,0.7333333333333333,0.0
4,0.6000000000000001,0.4,0.6000000000000001,0.4,0.4,0.4,0.4,0.4,0.6000000000000001,0.6000000000000001,1.0,0.4,0.6000000000000001,0.6000000000000001,0.4,0.6000000000000001,0.2,0.8,0.8,0.2,0.6000000000000001,0.2,0.6000000000000001,0.2,0.8,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0.8,0.4,0.2,0.6666666666666666,0.0
5,1.0,0.6000000000000001,0.8,0.4,0.6000000000000001,0.8,0.8,0.2,0.8,0.8,0.6000000000000001,0.6000000000000001,0.8,0.8,0.6000000000000001,1.0,0.4,0.4,1.0,0.2,1.0,0.2,1.0,0.8,0.4,0.2,0.4,0.6000000000000001,0.2,0.6000000000000001,0.6000000000000001,0.4,0.6666666666666666,0.5
6,0.6000000000000001,0.6000000000000001,0.2,0.2,0.2,0.4,0.2,0.6000000000000001,1.0,1.0,0.6000000000000001,0.6000000000000001,0.8,1.0,0.6000000000000001,0.8,0.2,0.2,0.8,0.6000000000000001,0.4,0.2,1.0,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.8,0.6000000000000001,1.0,0.2,1.0,0.6666666666666666,0.0
7,1.0,0.4,0.6000000000000001,0.2,0.2,1.0,0.8,0.2,0.4,0.4,0.4,0.6000000000000001,0.8,0.2,0.4,0.2,0.2,0.4,0.4,0.2,0.2,0.2,0.8,1.0,0.2,0.6000000000000001,0.6000000000000001,0.4,0.4,0.8,0.4,1.0,0.6333333333333333,0.5
8,0.6000000000000001,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.6000000000000001,0.2,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.8,0.2,0.4,0.2,0.8,0.2,0.2,1.0,0.4,0.2,1.0,0.8,0.2,0.2,0.6,0.0
9,0.6000000000000001,0.4,0.6000000000000001,0.6000000000000001,0.2,1.0,0.2,0.8,0.4,0.2,0.8,0.8,1.0,0.2,0.2,0.2,0.8,0.8,0.8,1.0,0.6000000000000001,0.2,0.8,0.8,0.2,0.4,0.8,0.6000000000000001,1.0,1.0,0.4,0.4,0.6333333333333333,0.0
10,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.4,0.2,0.8,1.0,0.6000000000000001,0.4,0.2,0.6000000000000001,0.6000000000000001,1.0,0.4,0.8,0.4,0.4,0.4,0.8,0.2,0.2,0.2,1.0,0.2,0.6000000000000001,0.4,1.0,0.8,0.4,0.8,0.2,1.0,0.6333333333333333,0.0
11,0.4,0.4,1.0,0.2,0.2,1.0,0.8,0.2,0.2,0.2,0.6000000000000001,1.0,0.4,0.2,0.6000000000000001,0.2,1.0,0.2,1.0,0.2,0.2,0.2,1.0,0.6000000000000001,0.2,0.4,0.6000000000000001,0.6000000000000001,0.2,0.6000000000000001,0.2,0.2,0.5666666666666667,0.0
